location_id,location_name,parameter,value,unit,datetimeUtc,datetimeLocal,timezone,latitude,longitude,country_iso,isMobile,isMonitor,owner_name,provider
10748,Merced,co,0.7,ppm,2025-03-12T19:00:00Z,2025-03-12T13:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,0.7,ppm,2025-03-12T20:00:00Z,2025-03-12T14:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,0.8,ppm,2025-03-12T21:00:00Z,2025-03-12T15:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,0.8,ppm,2025-03-12T22:00:00Z,2025-03-12T16:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,0.7,ppm,2025-03-12T23:00:00Z,2025-03-12T17:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,0.6,ppm,2025-03-13T00:00:00Z,2025-03-12T18:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,0.7,ppm,2025-03-13T01:00:00Z,2025-03-12T19:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,0.9,ppm,2025-03-13T02:00:00Z,2025-03-12T20:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,0.9,ppm,2025-03-13T03:00:00Z,2025-03-12T21:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,0.9,ppm,2025-03-13T04:00:00Z,2025-03-12T22:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,1.5,ppm,2025-03-13T05:00:00Z,2025-03-12T23:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
10748,Merced,co,1.2,ppm,2025-03-13T06:00:00Z,2025-03-13T00:00:00-06:00,America/Mexico_City,19.42472222,-99.11972222,,,,Unknown Governmental Organization,Sinaica Mexico
